date,open,high,low,close,volume,amount
2026-04-24,10463.8145,10564.0137,10270.96,10513.6641,0,0
2026-04-27,10533.3213,10536.8574,10251.7324,10408.0381,0,0
2026-04-28,9979.1709,10184.9883,9865.375,10035.5781,0,0
2026-04-29,10192.3311,10272.9502,10113.2119,10271.2979,0,0
2026-04-30,10387.8398,10516.3896,10229.8926,10503.7012,0,0
2026-05-01,10388.8174,10624.2119,10364.3965,10595.3408,0,0
2026-05-04,10656.0713,10690.4707,10430.21,10534.6582,0,0
2026-05-05,10759.2109,11058.1572,10718.4863,10980.5781,0,0
2026-05-06,11243.8242,11477.3848,11062.9531,11472.7549,0,0
2026-05-07,11332.1855,11404.3711,11075.1309,11160.9932,0,0
2026-05-08,11408.0059,11776.7354,11388.4209,11775.5,0,0
2026-05-11,11875.2861,12108.667,11822.4902,12081.042,0,0
2026-05-12,11741.4717,11919.0029,11263.5791,11717.2578,0,0
2026-05-13,11988.7529,12106.5547,11739.165,12017.9824,0,0
2026-05-14,11950.1416,12141.54,11892.4062,12073.7793,0,0
